null	 Ack time: 	1415801528443	 Dep numbers: 	0
127.0.0.1 : 21000:47	 Issue time: 	1415801528554	 Dep numbers: 	3
127.0.0.1 : 21000:48	 Issue time: 	1415801528557	 Dep numbers: 	40
null	 Ack time: 	1415801528559	 Dep numbers: 	0
127.0.0.1 : 21000:49	 Issue time: 	1415801528574	 Dep numbers: 	1
null	 Ack time: 	1415801528578	 Dep numbers: 	0
null	 Ack time: 	1415801528583	 Dep numbers: 	0
127.0.0.1 : 21000:50	 Issue time: 	1415801528635	 Dep numbers: 	30
null	 Ack time: 	1415801528649	 Dep numbers: 	0
127.0.0.1 : 21000:51	 Issue time: 	1415801528711	 Dep numbers: 	40
null	 Ack time: 	1415801528731	 Dep numbers: 	0
127.0.0.1 : 21000:52	 Issue time: 	1415801528734	 Dep numbers: 	8
null	 Ack time: 	1415801528740	 Dep numbers: 	0
127.0.0.1 : 21000:53	 Issue time: 	1415801528743	 Dep numbers: 	7
null	 Ack time: 	1415801528750	 Dep numbers: 	0
127.0.0.1 : 21000:54	 Issue time: 	1415801528772	 Dep numbers: 	26
null	 Ack time: 	1415801528786	 Dep numbers: 	0
127.0.0.1 : 21000:55	 Issue time: 	1415801528830	 Dep numbers: 	25
127.0.0.1 : 21000:56	 Issue time: 	1415801528839	 Dep numbers: 	19
null	 Ack time: 	1415801528842	 Dep numbers: 	0
127.0.0.1 : 21000:57	 Issue time: 	1415801528848	 Dep numbers: 	35
null	 Ack time: 	1415801528852	 Dep numbers: 	0
127.0.0.1 : 21000:58	 Issue time: 	1415801528865	 Dep numbers: 	20
null	 Ack time: 	1415801528868	 Dep numbers: 	0
null	 Ack time: 	1415801528879	 Dep numbers: 	0
127.0.0.1 : 21000:59	 Issue time: 	1415801528955	 Dep numbers: 	35
null	 Ack time: 	1415801528969	 Dep numbers: 	0
127.0.0.1 : 21000:60	 Issue time: 	1415801528989	 Dep numbers: 	12
127.0.0.1 : 21000:61	 Issue time: 	1415801528994	 Dep numbers: 	23
null	 Ack time: 	1415801528997	 Dep numbers: 	0
null	 Ack time: 	1415801529004	 Dep numbers: 	0
127.0.0.1 : 21000:62	 Issue time: 	1415801529056	 Dep numbers: 	18
null	 Ack time: 	1415801529068	 Dep numbers: 	0
127.0.0.1 : 21000:63	 Issue time: 	1415801529091	 Dep numbers: 	45
127.0.0.1 : 21000:64	 Issue time: 	1415801529107	 Dep numbers: 	15
127.0.0.1 : 21000:65	 Issue time: 	1415801529111	 Dep numbers: 	20
null	 Ack time: 	1415801529112	 Dep numbers: 	0
null	 Ack time: 	1415801529115	 Dep numbers: 	0
127.0.0.1 : 21000:66	 Issue time: 	1415801529118	 Dep numbers: 	10
null	 Ack time: 	1415801529121	 Dep numbers: 	0
null	 Ack time: 	1415801529126	 Dep numbers: 	0
127.0.0.1 : 21000:67	 Issue time: 	1415801529139	 Dep numbers: 	10
null	 Ack time: 	1415801529148	 Dep numbers: 	0
127.0.0.1 : 21000:68	 Issue time: 	1415801529175	 Dep numbers: 	12
null	 Ack time: 	1415801529183	 Dep numbers: 	0
127.0.0.1 : 21000:69	 Issue time: 	1415801529189	 Dep numbers: 	13
null	 Ack time: 	1415801529196	 Dep numbers: 	0
127.0.0.1 : 21000:70	 Issue time: 	1415801529240	 Dep numbers: 	24
null	 Ack time: 	1415801529251	 Dep numbers: 	0
127.0.0.1 : 21000:71	 Issue time: 	1415801529251	 Dep numbers: 	28
127.0.0.1 : 21000:72	 Issue time: 	1415801529261	 Dep numbers: 	29
null	 Ack time: 	1415801529264	 Dep numbers: 	0
null	 Ack time: 	1415801529276	 Dep numbers: 	0
127.0.0.1 : 21000:73	 Issue time: 	1415801529280	 Dep numbers: 	57
null	 Ack time: 	1415801529303	 Dep numbers: 	0
127.0.0.1 : 21000:74	 Issue time: 	1415801529333	 Dep numbers: 	34
null	 Ack time: 	1415801529347	 Dep numbers: 	0
127.0.0.1 : 21000:75	 Issue time: 	1415801529506	 Dep numbers: 	15
null	 Ack time: 	1415801529514	 Dep numbers: 	0
127.0.0.1 : 21000:76	 Issue time: 	1415801529547	 Dep numbers: 	11
null	 Ack time: 	1415801529555	 Dep numbers: 	0
127.0.0.1 : 21000:77	 Issue time: 	1415801529561	 Dep numbers: 	15
null	 Ack time: 	1415801529569	 Dep numbers: 	0
127.0.0.1 : 21000:78	 Issue time: 	1415801529837	 Dep numbers: 	27
null	 Ack time: 	1415801529856	 Dep numbers: 	0
127.0.0.1 : 21000:79	 Issue time: 	1415801529924	 Dep numbers: 	19
127.0.0.1 : 21000:80	 Issue time: 	1415801529946	 Dep numbers: 	8
null	 Ack time: 	1415801529950	 Dep numbers: 	0
null	 Ack time: 	1415801529958	 Dep numbers: 	0
127.0.0.1 : 21000:81	 Issue time: 	1415801529970	 Dep numbers: 	54
null	 Ack time: 	1415801529993	 Dep numbers: 	0
127.0.0.1 : 21000:82	 Issue time: 	1415801530052	 Dep numbers: 	53
null	 Ack time: 	1415801530072	 Dep numbers: 	0
127.0.0.1 : 21000:83	 Issue time: 	1415801530159	 Dep numbers: 	2
null	 Ack time: 	1415801530165	 Dep numbers: 	0
127.0.0.1 : 21000:84	 Issue time: 	1415801530175	 Dep numbers: 	26
127.0.0.1 : 21000:85	 Issue time: 	1415801530186	 Dep numbers: 	4
null	 Ack time: 	1415801530190	 Dep numbers: 	0
null	 Ack time: 	1415801530192	 Dep numbers: 	0
127.0.0.1 : 21000:86	 Issue time: 	1415801530303	 Dep numbers: 	15
null	 Ack time: 	1415801530314	 Dep numbers: 	0
127.0.0.1 : 21000:87	 Issue time: 	1415801530420	 Dep numbers: 	25
127.0.0.1 : 21000:88	 Issue time: 	1415801530448	 Dep numbers: 	7
null	 Ack time: 	1415801530453	 Dep numbers: 	0
null	 Ack time: 	1415801530462	 Dep numbers: 	0
127.0.0.1 : 21000:89	 Issue time: 	1415801530575	 Dep numbers: 	60
127.0.0.1 : 21000:90	 Issue time: 	1415801530594	 Dep numbers: 	13
null	 Ack time: 	1415801530596	 Dep numbers: 	0
null	 Ack time: 	1415801530601	 Dep numbers: 	0
127.0.0.1 : 21000:91	 Issue time: 	1415801530635	 Dep numbers: 	39
null	 Ack time: 	1415801530652	 Dep numbers: 	0
127.0.0.1 : 21000:92	 Issue time: 	1415801530662	 Dep numbers: 	8
null	 Ack time: 	1415801530669	 Dep numbers: 	0
127.0.0.1 : 21000:93	 Issue time: 	1415801530703	 Dep numbers: 	36
null	 Ack time: 	1415801530718	 Dep numbers: 	0
127.0.0.1 : 21000:94	 Issue time: 	1415801530891	 Dep numbers: 	48
null	 Ack time: 	1415801530917	 Dep numbers: 	0
127.0.0.1 : 21000:95	 Issue time: 	1415801530958	 Dep numbers: 	46
127.0.0.1 : 21000:96	 Issue time: 	1415801530983	 Dep numbers: 	29
null	 Ack time: 	1415801530986	 Dep numbers: 	0
null	 Ack time: 	1415801531001	 Dep numbers: 	0
127.0.0.1 : 21000:97	 Issue time: 	1415801531045	 Dep numbers: 	12
127.0.0.1 : 21000:98	 Issue time: 	1415801531052	 Dep numbers: 	7
null	 Ack time: 	1415801531054	 Dep numbers: 	0
null	 Ack time: 	1415801531059	 Dep numbers: 	0
127.0.0.1 : 21000:99	 Issue time: 	1415801531134	 Dep numbers: 	49
null	 Ack time: 	1415801531152	 Dep numbers: 	0
127.0.0.1 : 21000:100	 Issue time: 	1415801531258	 Dep numbers: 	6
null	 Ack time: 	1415801531281	 Dep numbers: 	0
127.0.0.1 : 21000:101	 Issue time: 	1415801531352	 Dep numbers: 	73
127.0.0.1 : 21000:102	 Issue time: 	1415801531379	 Dep numbers: 	7
null	 Ack time: 	1415801531382	 Dep numbers: 	0
null	 Ack time: 	1415801531385	 Dep numbers: 	0
127.0.0.1 : 21000:103	 Issue time: 	1415801531398	 Dep numbers: 	91
null	 Ack time: 	1415801531430	 Dep numbers: 	0
127.0.0.1 : 21000:104	 Issue time: 	1415801531463	 Dep numbers: 	7
